-1.500000,70.000000,1.500000,-70.000000
-0.972429,49.221570,0.812567,-42.874654
-0.765675,26.432632,0.570966,-18.568535
-0.560661,22.479516,0.339052,-15.150453
-0.452318,22.444562,0.208007,-13.895048
-0.262776,1.225659,0.068868,-8.349094
-0.134119,0.329007,0.069507,-8.600362
0.011961,0.044201,0.080282,-8.874125
-0.052073,-5.497221,0.281471,-30.921253
0.066014,-6.181183,0.313521,-31.270114
0.047962,-2.522635,0.524945,-52.690713
0.103516,-2.551669,0.731713,-72.711406
0.058158,-5.933172,0.925452,-91.229470
0.081144,-5.079201,1.103042,-108.182735
0.079924,-4.405890,1.265275,-123.537477
0.088474,-3.898008,1.412630,-137.421672
0.021946,-4.154792,1.378625,-129.370631
0.082983,-2.098660,1.513808,-142.655706
0.028813,-6.494659,1.636204,-154.731940
0.070405,-5.252490,1.746825,-165.738669
0.100271,-4.713722,1.848611,-175.655287
-0.052225,-5.484752,1.937644,-183.715751
0.055318,-6.191288,1.848240,-171.354756
0.039328,-1.832653,1.938583,-180.691030
0.020363,-2.984684,2.019415,-189.060248
0.179599,-2.542521,2.096048,-196.653666
0.000125,-2.421898,2.001086,-182.896165
0.112588,-1.041704,2.077366,-191.026800
-0.026764,-0.949601,1.980797,-177.734910
0.143668,-1.430053,2.059125,-185.606498
-0.022112,-1.297531,1.965538,-172.847624
0.122745,-1.045569,2.044921,-181.908438
-0.026160,-0.923735,1.951749,-169.483840
0.143705,-1.184589,2.032858,-178.148343
-0.022214,-1.014175,1.941723,-166.086776
0.034915,3.893458,2.021287,-175.667159
-0.130300,4.240831,1.926436,-163.595393
-0.031534,4.426518,1.834603,-152.665591
0.098141,-5.121460,1.925460,-163.603343
0.022918,-3.153165,2.008999,-173.681468
0.128502,-4.023700,2.085404,-182.776579
0.041640,-5.796891,2.154830,-191.064945
0.198606,4.838094,1.886471,-157.148105
-0.013916,5.116550,1.641729,-126.180487
-0.159048,3.922698,1.410860,-98.136791
0.011562,4.156396,1.198739,-72.588704
-0.042215,2.018498,0.997140,-48.903073
-0.001611,-0.045989,0.793114,-32.718871
0.126927,15.154195,0.572877,-9.571875
-0.040164,4.004576,0.334002,-3.050094
-0.002775,0.927669,0.118855,-0.753345
